2024/02/20 10:19:12.571 [INFO ]  [org.springframework.boot.StartupInfoLogger] [main]- Starting AutodeployerApplication using Java 1.8.0_333 on DESKTOP-C49GNOS with PID 28756 (C:\Users\duddms\IdeaProjects\ai-xaiops-logpresso-deploy-master\autodeployer\target\classes started by duddms in C:\Users\duddms\IdeaProjects\ai-xaiops-logpresso-deploy-master)
2024/02/20 10:19:12.577 [INFO ]  [org.springframework.boot.SpringApplication] [main]- No active profile set, falling back to 1 default profile: "default"
2024/02/20 10:19:15.607 [INFO ]  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main]- Tomcat initialized with port(s): 24567 (http)
2024/02/20 10:19:15.623 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [main]- Initializing ProtocolHandler ["http-nio-24567"]
2024/02/20 10:19:15.623 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [main]- Starting service [Tomcat]
2024/02/20 10:19:15.623 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [main]- Starting Servlet engine: [Apache Tomcat/9.0.71]
2024/02/20 10:19:15.842 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [main]- Initializing Spring embedded WebApplicationContext
2024/02/20 10:19:15.842 [INFO ]  [org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext] [main]- Root WebApplicationContext: initialization completed in 3223 ms
2024/02/20 10:19:16.429 [INFO ]  [springfox.documentation.spring.web.PropertySourcedRequestMappingHandlerMapping] [main]- Mapped URL path [/v2/api-docs] onto method [springfox.documentation.swagger2.web.Swagger2Controller#getDocumentation(String, HttpServletRequest)]
2024/02/20 10:19:16.824 [INFO ]  [org.apache.juli.logging.DirectJDKLog] [main]- Starting ProtocolHandler ["http-nio-24567"]
2024/02/20 10:19:16.839 [INFO ]  [org.springframework.boot.web.embedded.tomcat.TomcatWebServer] [main]- Tomcat started on port(s): 24567 (http) with context path ''
2024/02/20 10:19:16.839 [INFO ]  [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper] [main]- Context refreshed
2024/02/20 10:19:16.871 [INFO ]  [springfox.documentation.spring.web.plugins.DocumentationPluginsBootstrapper] [main]- Found 1 custom documentation plugin(s)
